T,DeltaP,DeltaU,xi,Tk,DeltaT,DeltaPMPa
20.0 ± 0.5,66.0 ± 0.5,166.0 ± 2.0,40.2 ± 0.5,293.15 ± 0.5,4.129 ± 0.072,0.3883 ± 0.0029
20.0 ± 0.5,58.0 ± 0.5,143.0 ± 2.0,40.2 ± 0.5,293.15 ± 0.5,3.557 ± 0.067,0.3413 ± 0.0029
20.0 ± 0.5,49.5 ± 0.5,115.0 ± 2.0,40.2 ± 0.5,293.15 ± 0.5,2.861 ± 0.061,0.2913 ± 0.0029
20.0 ± 0.5,41.5 ± 0.5,93.0 ± 2.0,40.2 ± 0.5,293.15 ± 0.5,2.313 ± 0.057,0.2442 ± 0.0029
20.0 ± 0.5,33.0 ± 0.5,67.0 ± 2.0,40.2 ± 0.5,293.15 ± 0.5,1.667 ± 0.054,0.1942 ± 0.0029
20.0 ± 0.5,25.0 ± 0.5,42.0 ± 2.0,40.2 ± 0.5,293.15 ± 0.5,1.045 ± 0.051,0.1471 ± 0.0029
20.0 ± 0.5,16.0 ± 0.5,21.0 ± 2.0,40.2 ± 0.5,293.15 ± 0.5,0.522 ± 0.05,0.0941 ± 0.0029
20.0 ± 0.5,8.0 ± 0.5,4.0 ± 2.0,40.2 ± 0.5,293.15 ± 0.5,0.1 ± 0.05,0.0471 ± 0.0029
30.0 ± 0.5,66.0 ± 0.5,157.0 ± 2.0,41.1 ± 0.5,303.15 ± 0.5,3.82 ± 0.067,0.3883 ± 0.0029
30.0 ± 0.5,58.0 ± 0.5,135.0 ± 2.0,41.1 ± 0.5,303.15 ± 0.5,3.285 ± 0.063,0.3413 ± 0.0029
30.0 ± 0.5,49.5 ± 0.5,109.0 ± 2.0,41.1 ± 0.5,303.15 ± 0.5,2.652 ± 0.058,0.2913 ± 0.0029
30.0 ± 0.5,41.0 ± 0.5,86.0 ± 2.0,41.1 ± 0.5,303.15 ± 0.5,2.092 ± 0.055,0.2412 ± 0.0029
30.0 ± 0.5,33.0 ± 0.5,63.0 ± 2.0,41.1 ± 0.5,303.15 ± 0.5,1.533 ± 0.052,0.1942 ± 0.0029
30.0 ± 0.5,25.0 ± 0.5,41.0 ± 2.0,41.1 ± 0.5,303.15 ± 0.5,0.998 ± 0.05,0.1471 ± 0.0029
30.0 ± 0.5,16.5 ± 0.5,24.0 ± 2.0,41.1 ± 0.5,303.15 ± 0.5,0.584 ± 0.049,0.0971 ± 0.0029
30.0 ± 0.5,8.0 ± 0.5,10.0 ± 2.0,41.1 ± 0.5,303.15 ± 0.5,0.243 ± 0.049,0.0471 ± 0.0029
50.0 ± 0.5,66.0 ± 0.5,141.0 ± 2.0,42.9 ± 0.5,323.15 ± 0.5,3.287 ± 0.06,0.3883 ± 0.0029
50.0 ± 0.5,58.0 ± 0.5,119.0 ± 2.0,42.9 ± 0.5,323.15 ± 0.5,2.774 ± 0.057,0.3413 ± 0.0029
50.0 ± 0.5,49.0 ± 0.5,94.0 ± 2.0,42.9 ± 0.5,323.15 ± 0.5,2.191 ± 0.053,0.2883 ± 0.0029
50.0 ± 0.5,41.5 ± 0.5,75.0 ± 2.0,42.9 ± 0.5,323.15 ± 0.5,1.748 ± 0.051,0.2442 ± 0.0029
50.0 ± 0.5,32.0 ± 0.5,50.0 ± 2.0,42.9 ± 0.5,323.15 ± 0.5,1.166 ± 0.049,0.1883 ± 0.0029
50.0 ± 0.5,25.0 ± 0.5,33.0 ± 2.0,42.9 ± 0.5,323.15 ± 0.5,0.769 ± 0.047,0.1471 ± 0.0029
50.0 ± 0.5,16.0 ± 0.5,17.0 ± 2.0,42.9 ± 0.5,323.15 ± 0.5,0.396 ± 0.047,0.0941 ± 0.0029
50.0 ± 0.5,7.0 ± 0.5,5.0 ± 2.0,42.9 ± 0.5,323.15 ± 0.5,0.117 ± 0.047,0.0412 ± 0.0029
