I,U,Rs,T,Q,R,I_e,U_e,Rs_e,T_e,Q_e,R_e
41.12,834.0,60.3,23.5,34294.079999999994,20.282101167315176,0.02,2.0,0.01,0.1,83.91448027605247,0.04962844836081243
56.29,1151.0,36.8,23.5,64789.79,20.447681648605435,0.02,2.0,0.01,0.1,114.90942868189713,0.03626545812404335
67.2,1384.0,26.4,23.5,93004.8,20.595238095238095,0.02,2.0,0.01,0.1,137.22077976749733,0.03038654597317383
70.06,1578.0,20.1,23.5,110554.68000000001,22.52355124179275,0.02,2.0,0.01,0.1,143.6302475107524,0.029262110294017468
83.29,1739.0,15.9,23.5,144841.31,20.87885700564293,0.02,2.0,0.01,0.1,170.17210347175003,0.024530287766219058
89.54,1880.0,12.8,23.5,168335.2,20.99620281438463,0.02,2.0,0.01,0.1,182.98471630166276,0.022823415515010197
95.22,2011.0,10.3,23.5,191487.41999999998,21.11951270741441,0.02,2.0,0.01,0.1,194.64080250553837,0.02146730527727125
99.99,2123.0,8.4,23.5,212278.77,21.232123212321234,0.02,2.0,0.01,0.1,204.43789276941786,0.02044787864819264
104.37,2227.0,6.8,23.5,232431.99000000002,21.3375491041487,0.02,2.0,0.01,0.1,213.43898238138226,0.019593967109700662
108.51,2327.0,5.4,23.5,252502.77000000002,21.445028108008476,0.02,2.0,0.01,0.1,221.95416643983054,0.0188505390970236
40.72,859.0,60.3,35.0,34978.479999999996,21.095284872298624,0.02,2.0,0.01,0.1,83.2323614947936,0.050196874659127845
55.57,1181.0,36.8,35.0,65628.17,21.252474356667268,0.02,2.0,0.01,0.1,113.62219853532143,0.03679445672064414
66.19,1416.0,26.4,35.0,93725.04,21.3929596615803,0.02,2.0,0.01,0.1,135.37535521652381,0.030899741555929967
74.76,1611.0,20.1,35.0,120438.36000000002,21.54895666131621,0.02,2.0,0.01,0.1,152.95214545732927,0.027366356978917022
81.77,1772.0,15.9,35.0,144896.44,21.67053931759814,0.02,2.0,0.01,0.1,167.33596505234613,0.025026568008952428
87.79,1912.0,12.8,35.0,167854.48,21.779245927782206,0.02,2.0,0.01,0.1,179.69594875789494,0.023315685468891525
93.25,2042.0,10.3,35.0,190416.5,21.89812332439678,0.02,2.0,0.01,0.1,190.91923842295202,0.021955938839258764
97.85,2154.0,8.4,35.0,210768.9,22.013285641287688,0.02,2.0,0.01,0.1,200.38556934070877,0.020928821929084802
102.08,2256.0,6.8,35.0,230292.48,22.100313479623825,0.02,2.0,0.01,0.1,209.08639362713205,0.020065244177680658
106.03,2354.0,5.4,35.0,249594.62,22.201263793266058,0.02,2.0,0.01,0.1,217.22331826947124,0.01932185954548668
40.39,881.0,60.3,45.0,35583.590000000004,21.81232978460015,0.02,2.0,0.01,0.1,82.67933720102019,0.05068147900200097
54.96,1207.0,36.8,45.0,66336.72,21.961426491994178,0.02,2.0,0.01,0.1,112.53953083250347,0.03725732345255444
65.34,1444.0,26.4,45.0,94350.96,22.09978573614937,0.02,2.0,0.01,0.1,133.8331677873613,0.031347686684807585
73.69,1638.0,20.1,45.0,120704.22,22.2282534943683,0.02,2.0,0.01,0.1,150.97709097740622,0.027803145988500574
80.49,1799.0,15.9,45.0,144801.50999999998,22.35060255932414,0.02,2.0,0.01,0.1,164.95187419365686,0.025460879389434962
86.33,1939.0,12.8,45.0,167393.87,22.460326653538747,0.02,2.0,0.01,0.1,176.96147603362715,0.02374407471914972
91.64,2069.0,10.3,45.0,189603.16,22.577477084242688,0.02,2.0,0.01,0.1,187.89322180430034,0.022373861857424314
96.07,2179.0,8.4,45.0,209336.53,22.681378161757053,0.02,2.0,0.01,0.1,197.0202933710129,0.02134692774112698
100.15,2281.0,6.8,45.0,228442.15000000002,22.775836245631552,0.02,2.0,0.01,0.1,205.4294876593913,0.02048145830773473
103.98,2378.0,5.4,45.0,247264.44,22.869782650509713,0.02,2.0,0.01,0.1,213.32912412514145,0.019731064854152068
40.07,902.0,60.3,55.0,36143.14,22.510606438732218,0.02,2.0,0.01,0.1,82.14536627223717,0.051161631527306115
54.38,1232.0,36.8,55.0,66996.16,22.6553880102979,0.02,2.0,0.01,0.1,111.51621944811437,0.037710269081669155
64.51,1470.0,26.4,55.0,94829.70000000001,22.78716478065416,0.02,2.0,0.01,0.1,132.3273229533493,0.03179768061188436
72.64,1666.0,20.1,55.0,121018.24,22.935022026431717,0.02,2.0,0.01,0.1,149.05200703110307,0.028247899360808786
79.26,1826.0,15.9,55.0,144728.76,23.038102447640675,0.02,2.0,0.01,0.1,162.6723725775216,0.025894388819759917
84.93,1966.0,12.8,55.0,166972.38,23.148475214882843,0.02,2.0,0.01,0.1,174.35160452373245,0.024171505466908213
90.08,2095.0,10.3,55.0,188717.6,23.257104795737124,0.02,2.0,0.01,0.1,184.96820159151682,0.022795037920644055
94.37,2203.0,8.4,55.0,207897.11000000002,23.34428314082865,0.02,2.0,0.01,0.1,193.8145278352477,0.02176298273021707
98.31,2304.0,6.8,55.0,226506.24,23.436069575831553,0.02,2.0,0.01,0.1,201.94749515653817,0.020895033828443463
101.99,2399.0,5.4,55.0,244674.00999999998,23.52191391312874,0.02,2.0,0.01,0.1,209.54694175768824,0.0201449476582484
39.61,933.0,60.3,70.0,36956.13,23.554657914668013,0.02,2.0,0.01,0.1,81.38798437115886,0.0518741039775267
53.52,1269.0,36.8,70.0,67916.88,23.710762331838563,0.02,2.0,0.01,0.1,110.00775427214211,0.03840529359131426
63.32,1509.0,26.4,70.0,95549.88,23.83133291219204,0.02,2.0,0.01,0.1,130.1864893143678,0.032470135676991224
71.15,1704.0,20.1,70.0,121239.6,23.949402670414614,0.02,2.0,0.01,0.1,146.32408004152975,0.028904535426482553
77.49,1865.0,15.9,70.0,144518.84999999998,24.06762162859724,0.02,2.0,0.01,0.1,159.40542776204327,0.0265467758767908
82.91,2004.0,12.8,70.0,166151.63999999998,24.17078760101315,0.02,2.0,0.01,0.1,170.59507261348435,0.024817192691687816
87.84,2131.0,10.3,70.0,187187.04,24.260018214936245,0.02,2.0,0.01,0.1,180.7759021551269,0.023429114959587535
91.9,2238.0,8.4,70.0,205672.2,24.352557127312295,0.02,2.0,0.01,0.1,189.1716088634867,0.02239880942448049
95.65,2338.0,6.8,70.0,223629.7,24.44328280188186,0.02,2.0,0.01,0.1,196.93193646536866,0.02152515079949236
99.19,2432.0,5.4,70.0,241230.08,24.518600665389656,0.02,2.0,0.01,0.1,204.25590321946635,0.020760549118031105
