I,U,Rs,T,Q,R
41.12 ± 0.02,834.0 ± 2.0,60.3 ± 0.01,23.5 ± 0.1,34294.0 ± 84.0,20.282 ± 0.05
56.29 ± 0.02,1151.0 ± 2.0,36.8 ± 0.01,23.5 ± 0.1,64790.0 ± 110.0,20.448 ± 0.036
67.2 ± 0.02,1384.0 ± 2.0,26.4 ± 0.01,23.5 ± 0.1,93000.0 ± 140.0,20.595 ± 0.03
70.06 ± 0.02,1578.0 ± 2.0,20.1 ± 0.01,23.5 ± 0.1,110550.0 ± 140.0,22.524 ± 0.029
83.29 ± 0.02,1739.0 ± 2.0,15.9 ± 0.01,23.5 ± 0.1,144840.0 ± 170.0,20.879 ± 0.025
89.54 ± 0.02,1880.0 ± 2.0,12.8 ± 0.01,23.5 ± 0.1,168340.0 ± 180.0,20.996 ± 0.023
95.22 ± 0.02,2011.0 ± 2.0,10.3 ± 0.01,23.5 ± 0.1,191490.0 ± 190.0,21.12 ± 0.021
99.99 ± 0.02,2123.0 ± 2.0,8.4 ± 0.01,23.5 ± 0.1,212280.0 ± 200.0,21.232 ± 0.02
104.37 ± 0.02,2227.0 ± 2.0,6.8 ± 0.01,23.5 ± 0.1,232430.0 ± 210.0,21.338 ± 0.02
108.51 ± 0.02,2327.0 ± 2.0,5.4 ± 0.01,23.5 ± 0.1,252500.0 ± 220.0,21.445 ± 0.019
40.72 ± 0.02,859.0 ± 2.0,60.3 ± 0.01,35.0 ± 0.1,34978.0 ± 83.0,21.095 ± 0.05
55.57 ± 0.02,1181.0 ± 2.0,36.8 ± 0.01,35.0 ± 0.1,65630.0 ± 110.0,21.252 ± 0.037
66.19 ± 0.02,1416.0 ± 2.0,26.4 ± 0.01,35.0 ± 0.1,93730.0 ± 140.0,21.393 ± 0.031
74.76 ± 0.02,1611.0 ± 2.0,20.1 ± 0.01,35.0 ± 0.1,120440.0 ± 150.0,21.549 ± 0.027
81.77 ± 0.02,1772.0 ± 2.0,15.9 ± 0.01,35.0 ± 0.1,144900.0 ± 170.0,21.671 ± 0.025
87.79 ± 0.02,1912.0 ± 2.0,12.8 ± 0.01,35.0 ± 0.1,167850.0 ± 180.0,21.779 ± 0.023
93.25 ± 0.02,2042.0 ± 2.0,10.3 ± 0.01,35.0 ± 0.1,190420.0 ± 190.0,21.898 ± 0.022
97.85 ± 0.02,2154.0 ± 2.0,8.4 ± 0.01,35.0 ± 0.1,210770.0 ± 200.0,22.013 ± 0.021
102.08 ± 0.02,2256.0 ± 2.0,6.8 ± 0.01,35.0 ± 0.1,230290.0 ± 210.0,22.1 ± 0.02
106.03 ± 0.02,2354.0 ± 2.0,5.4 ± 0.01,35.0 ± 0.1,249590.0 ± 220.0,22.201 ± 0.019
40.39 ± 0.02,881.0 ± 2.0,60.3 ± 0.01,45.0 ± 0.1,35584.0 ± 83.0,21.812 ± 0.051
54.96 ± 0.02,1207.0 ± 2.0,36.8 ± 0.01,45.0 ± 0.1,66340.0 ± 110.0,21.961 ± 0.037
65.34 ± 0.02,1444.0 ± 2.0,26.4 ± 0.01,45.0 ± 0.1,94350.0 ± 130.0,22.1 ± 0.031
73.69 ± 0.02,1638.0 ± 2.0,20.1 ± 0.01,45.0 ± 0.1,120700.0 ± 150.0,22.228 ± 0.028
80.49 ± 0.02,1799.0 ± 2.0,15.9 ± 0.01,45.0 ± 0.1,144800.0 ± 160.0,22.351 ± 0.025
86.33 ± 0.02,1939.0 ± 2.0,12.8 ± 0.01,45.0 ± 0.1,167390.0 ± 180.0,22.46 ± 0.024
91.64 ± 0.02,2069.0 ± 2.0,10.3 ± 0.01,45.0 ± 0.1,189600.0 ± 190.0,22.577 ± 0.022
96.07 ± 0.02,2179.0 ± 2.0,8.4 ± 0.01,45.0 ± 0.1,209340.0 ± 200.0,22.681 ± 0.021
100.15 ± 0.02,2281.0 ± 2.0,6.8 ± 0.01,45.0 ± 0.1,228440.0 ± 210.0,22.776 ± 0.02
103.98 ± 0.02,2378.0 ± 2.0,5.4 ± 0.01,45.0 ± 0.1,247260.0 ± 210.0,22.87 ± 0.02
40.07 ± 0.02,902.0 ± 2.0,60.3 ± 0.01,55.0 ± 0.1,36143.0 ± 82.0,22.511 ± 0.051
54.38 ± 0.02,1232.0 ± 2.0,36.8 ± 0.01,55.0 ± 0.1,67000.0 ± 110.0,22.655 ± 0.038
64.51 ± 0.02,1470.0 ± 2.0,26.4 ± 0.01,55.0 ± 0.1,94830.0 ± 130.0,22.787 ± 0.032
72.64 ± 0.02,1666.0 ± 2.0,20.1 ± 0.01,55.0 ± 0.1,121020.0 ± 150.0,22.935 ± 0.028
79.26 ± 0.02,1826.0 ± 2.0,15.9 ± 0.01,55.0 ± 0.1,144730.0 ± 160.0,23.038 ± 0.026
84.93 ± 0.02,1966.0 ± 2.0,12.8 ± 0.01,55.0 ± 0.1,166970.0 ± 170.0,23.148 ± 0.024
90.08 ± 0.02,2095.0 ± 2.0,10.3 ± 0.01,55.0 ± 0.1,188720.0 ± 180.0,23.257 ± 0.023
94.37 ± 0.02,2203.0 ± 2.0,8.4 ± 0.01,55.0 ± 0.1,207900.0 ± 190.0,23.344 ± 0.022
98.31 ± 0.02,2304.0 ± 2.0,6.8 ± 0.01,55.0 ± 0.1,226510.0 ± 200.0,23.436 ± 0.021
101.99 ± 0.02,2399.0 ± 2.0,5.4 ± 0.01,55.0 ± 0.1,244670.0 ± 210.0,23.522 ± 0.02
39.61 ± 0.02,933.0 ± 2.0,60.3 ± 0.01,70.0 ± 0.1,36956.0 ± 81.0,23.555 ± 0.052
53.52 ± 0.02,1269.0 ± 2.0,36.8 ± 0.01,70.0 ± 0.1,67920.0 ± 110.0,23.711 ± 0.038
63.32 ± 0.02,1509.0 ± 2.0,26.4 ± 0.01,70.0 ± 0.1,95550.0 ± 130.0,23.831 ± 0.032
71.15 ± 0.02,1704.0 ± 2.0,20.1 ± 0.01,70.0 ± 0.1,121240.0 ± 150.0,23.949 ± 0.029
77.49 ± 0.02,1865.0 ± 2.0,15.9 ± 0.01,70.0 ± 0.1,144520.0 ± 160.0,24.068 ± 0.027
82.91 ± 0.02,2004.0 ± 2.0,12.8 ± 0.01,70.0 ± 0.1,166150.0 ± 170.0,24.171 ± 0.025
87.84 ± 0.02,2131.0 ± 2.0,10.3 ± 0.01,70.0 ± 0.1,187190.0 ± 180.0,24.26 ± 0.023
91.9 ± 0.02,2238.0 ± 2.0,8.4 ± 0.01,70.0 ± 0.1,205670.0 ± 190.0,24.353 ± 0.022
95.65 ± 0.02,2338.0 ± 2.0,6.8 ± 0.01,70.0 ± 0.1,223630.0 ± 200.0,24.443 ± 0.022
99.19 ± 0.02,2432.0 ± 2.0,5.4 ± 0.01,70.0 ± 0.1,241230.0 ± 200.0,24.519 ± 0.021
